id.auto()	student_id.auto()	subject_id.auto()	mark.auto()	created_at.auto()
3255	164046	1	2	2021-10-06 09:41:59.761655
3256	194584	634	3	2021-10-06 09:41:59.761655
3257	145633	140	4	2021-10-06 09:41:59.761655
3258	73510	936	1	2021-10-06 09:41:59.761655
3259	110140	616	3	2021-10-06 09:41:59.761655
3260	64726	124	3	2021-10-06 09:41:59.761655
3261	135009	403	1	2021-10-06 09:41:59.761655
3262	152456	268	2	2021-10-06 09:41:59.761655
3263	9193	212	5	2021-10-06 09:41:59.761655
3264	156884	468	0	2021-10-06 09:41:59.761655
3265	162118	429	2	2021-10-06 09:41:59.761655
3266	174785	78	3	2021-10-06 09:41:59.761655
3267	25305	68	0	2021-10-06 09:41:59.761655
3268	196654	854	0	2021-10-06 09:41:59.761655
3269	30678	217	4	2021-10-06 09:41:59.761655
3270	169269	687	2	2021-10-06 09:41:59.761655
3271	138720	732	0	2021-10-06 09:41:59.761655
3272	61538	307	4	2021-10-06 09:41:59.761655
3273	159825	240	3	2021-10-06 09:41:59.761655
3274	12570	19	3	2021-10-06 09:41:59.761655
3275	112028	515	4	2021-10-06 09:41:59.761655
3276	112163	538	5	2021-10-06 09:41:59.761655
3277	102966	302	2	2021-10-06 09:41:59.761655
3278	24054	901	4	2021-10-06 09:41:59.761655
3279	6470	430	4	2021-10-06 09:41:59.761655
3280	13674	823	4	2021-10-06 09:41:59.761655
3281	3980	325	4	2021-10-06 09:41:59.761655
3282	114265	608	2	2021-10-06 09:41:59.761655
3283	191086	137	0	2021-10-06 09:41:59.761655
3284	71522	370	0	2021-10-06 09:41:59.761655
3285	88444	210	1	2021-10-06 09:41:59.761655
3286	142809	81	3	2021-10-06 09:41:59.761655
3287	99706	268	3	2021-10-06 09:41:59.761655
3288	32304	797	3	2021-10-06 09:41:59.761655
3289	54227	731	3	2021-10-06 09:41:59.761655
3290	121694	526	2	2021-10-06 09:41:59.761655
3291	96897	35	0	2021-10-06 09:41:59.761655
3292	24245	414	3	2021-10-06 09:41:59.761655
3293	120620	264	3	2021-10-06 09:41:59.761655
3294	11771	549	1	2021-10-06 09:41:59.761655
3295	12115	145	4	2021-10-06 09:41:59.761655
3296	33401	361	3	2021-10-06 09:41:59.761655
3297	129290	126	0	2021-10-06 09:41:59.761655
3298	175810	143	5	2021-10-06 09:41:59.761655
3299	67563	149	4	2021-10-06 09:41:59.761655
3300	63479	617	1	2021-10-06 09:41:59.761655
3301	6353	468	4	2021-10-06 09:41:59.761655
3302	171287	907	5	2021-10-06 09:41:59.761655
3303	65003	614	4	2021-10-06 09:41:59.761655
3304	126845	341	3	2021-10-06 09:41:59.761655
3305	12877	564	5	2021-10-06 09:41:59.761655
3306	4629	884	0	2021-10-06 09:41:59.761655
3307	150866	641	1	2021-10-06 09:41:59.761655
3308	39688	111	2	2021-10-06 09:41:59.761655
3309	53365	136	3	2021-10-06 09:41:59.761655
3310	22524	713	1	2021-10-06 09:41:59.761655
3311	13386	62	4	2021-10-06 09:41:59.761655
3312	146117	237	2	2021-10-06 09:41:59.761655
3313	176247	868	2	2021-10-06 09:41:59.761655
3314	175623	871	1	2021-10-06 09:41:59.761655
3315	196651	655	5	2021-10-06 09:41:59.761655
3316	94278	464	2	2021-10-06 09:41:59.761655
3317	144588	275	1	2021-10-06 09:41:59.761655
3318	107010	709	3	2021-10-06 09:41:59.761655
3319	132467	133	2	2021-10-06 09:41:59.761655
3320	92064	420	4	2021-10-06 09:41:59.761655
3321	158189	263	1	2021-10-06 09:41:59.761655
3322	44762	137	0	2021-10-06 09:41:59.761655
3323	103704	46	1	2021-10-06 09:41:59.761655
3324	38622	376	3	2021-10-06 09:41:59.761655
3325	88732	171	1	2021-10-06 09:41:59.761655
3326	120982	139	2	2021-10-06 09:41:59.761655
3327	148067	376	1	2021-10-06 09:41:59.761655
3328	47891	297	3	2021-10-06 09:41:59.761655
3329	86443	577	5	2021-10-06 09:41:59.761655
3330	172439	151	1	2021-10-06 09:41:59.761655
3331	87908	26	2	2021-10-06 09:41:59.761655
3332	25101	69	2	2021-10-06 09:41:59.761655
3333	62243	136	4	2021-10-06 09:41:59.761655
3334	68849	656	3	2021-10-06 09:41:59.761655
3335	185192	473	3	2021-10-06 09:41:59.761655
3336	29565	260	3	2021-10-06 09:41:59.761655
3337	91881	311	2	2021-10-06 09:41:59.761655
3338	146627	890	2	2021-10-06 09:41:59.761655
3339	296	441	4	2021-10-06 09:41:59.761655
3340	61289	623	2	2021-10-06 09:41:59.761655
3341	70329	823	1	2021-10-06 09:41:59.761655
3342	44454	974	2	2021-10-06 09:41:59.761655
3343	154091	685	1	2021-10-06 09:41:59.761655
3344	19754	324	0	2021-10-06 09:41:59.761655
3345	37230	801	2	2021-10-06 09:41:59.761655
3346	86951	278	1	2021-10-06 09:41:59.761655
3347	105454	78	0	2021-10-06 09:41:59.761655
3348	86095	77	4	2021-10-06 09:41:59.761655
3349	100219	215	2	2021-10-06 09:41:59.761655
3350	114539	312	5	2021-10-06 09:41:59.761655
3351	167396	104	3	2021-10-06 09:41:59.761655
3352	881	66	5	2021-10-06 09:41:59.761655
3353	50909	345	5	2021-10-06 09:41:59.761655
3354	139614	510	2	2021-10-06 09:41:59.761655
3355	69995	477	4	2021-10-06 09:41:59.761655
3356	74626	579	3	2021-10-06 09:41:59.761655
3357	131552	137	3	2021-10-06 09:41:59.761655
3358	22171	687	1	2021-10-06 09:41:59.761655
3359	63583	589	5	2021-10-06 09:41:59.761655
3360	123631	265	3	2021-10-06 09:41:59.761655
3361	10895	325	1	2021-10-06 09:41:59.761655
3362	140072	725	3	2021-10-06 09:41:59.761655
3363	160966	7	3	2021-10-06 09:41:59.761655
3364	41303	90	2	2021-10-06 09:41:59.761655
3365	177119	196	2	2021-10-06 09:41:59.761655
3366	39679	453	0	2021-10-06 09:41:59.761655
3367	198284	924	4	2021-10-06 09:41:59.761655
3368	60455	894	3	2021-10-06 09:41:59.761655
3369	152516	399	1	2021-10-06 09:41:59.761655
3370	158620	473	2	2021-10-06 09:41:59.761655
3371	185826	603	1	2021-10-06 09:41:59.761655
3372	150834	142	1	2021-10-06 09:41:59.761655
3373	158567	241	2	2021-10-06 09:41:59.761655
3374	70464	203	4	2021-10-06 09:41:59.761655
3375	175075	110	4	2021-10-06 09:41:59.761655
3376	148929	554	3	2021-10-06 09:41:59.761655
3377	40113	427	2	2021-10-06 09:41:59.761655
3378	113879	592	4	2021-10-06 09:41:59.761655
3379	129137	416	4	2021-10-06 09:41:59.761655
3380	95528	196	0	2021-10-06 09:41:59.761655
3381	11074	420	2	2021-10-06 09:41:59.761655
3382	92267	328	1	2021-10-06 09:41:59.761655
3383	70962	196	2	2021-10-06 09:41:59.761655
3384	55222	237	1	2021-10-06 09:41:59.761655
3385	60334	503	4	2021-10-06 09:41:59.761655
3386	28526	491	3	2021-10-06 09:41:59.761655
3387	195859	979	1	2021-10-06 09:41:59.761655
3388	134055	219	4	2021-10-06 09:41:59.761655
3389	27418	426	3	2021-10-06 09:41:59.761655
3390	81481	989	4	2021-10-06 09:41:59.761655
3391	198255	707	1	2021-10-06 09:41:59.761655
3392	53752	620	3	2021-10-06 09:41:59.761655
3393	137375	727	2	2021-10-06 09:41:59.761655
3394	3085	588	1	2021-10-06 09:41:59.761655
3395	93330	177	3	2021-10-06 09:41:59.761655
3396	181473	558	3	2021-10-06 09:41:59.761655
3397	171818	582	0	2021-10-06 09:41:59.761655
3398	137024	148	2	2021-10-06 09:41:59.761655
3399	192504	805	3	2021-10-06 09:41:59.761655
3400	184815	368	3	2021-10-06 09:41:59.761655
3401	64238	106	4	2021-10-06 09:41:59.761655
3402	65619	71	0	2021-10-06 09:41:59.761655
3403	61399	552	1	2021-10-06 09:41:59.761655
3404	152324	134	2	2021-10-06 09:41:59.761655
3405	39555	969	4	2021-10-06 09:41:59.761655
3406	169280	83	4	2021-10-06 09:41:59.761655
3407	84391	190	2	2021-10-06 09:41:59.761655
3408	165142	104	1	2021-10-06 09:41:59.761655
3409	8487	167	5	2021-10-06 09:41:59.761655
3410	40266	183	2	2021-10-06 09:41:59.761655
3411	58870	368	0	2021-10-06 09:41:59.761655
3412	177472	658	3	2021-10-06 09:41:59.761655
3413	26232	310	4	2021-10-06 09:41:59.761655
3414	119188	520	2	2021-10-06 09:41:59.761655
3415	109785	438	4	2021-10-06 09:41:59.761655
3416	31277	550	3	2021-10-06 09:41:59.761655
3417	102922	568	1	2021-10-06 09:41:59.761655
3418	145143	704	2	2021-10-06 09:41:59.761655
3419	48819	247	1	2021-10-06 09:41:59.761655
3420	26499	257	1	2021-10-06 09:41:59.761655
3421	13382	254	4	2021-10-06 09:41:59.761655
3422	148060	455	2	2021-10-06 09:41:59.761655
3423	153733	757	3	2021-10-06 09:41:59.761655
3424	58530	242	1	2021-10-06 09:41:59.761655
3425	49257	71	2	2021-10-06 09:41:59.761655
3426	131194	229	4	2021-10-06 09:41:59.761655
3427	183646	664	1	2021-10-06 09:41:59.761655
3428	49770	243	1	2021-10-06 09:41:59.761655
3429	91648	411	4	2021-10-06 09:41:59.761655
3430	135748	781	3	2021-10-06 09:41:59.761655
3431	62225	100	2	2021-10-06 09:41:59.761655
3432	4023	288	3	2021-10-06 09:41:59.761655
3433	47696	384	5	2021-10-06 09:41:59.761655
3434	34373	737	5	2021-10-06 09:41:59.761655
3435	41277	571	2	2021-10-06 09:41:59.761655
3436	139817	508	3	2021-10-06 09:41:59.761655
3437	133465	456	5	2021-10-06 09:41:59.761655
3438	103095	650	4	2021-10-06 09:41:59.761655
3439	52491	6	3	2021-10-06 09:41:59.761655
3440	97844	737	0	2021-10-06 09:41:59.761655
3441	134083	17	2	2021-10-06 09:41:59.761655
3442	48091	664	2	2021-10-06 09:41:59.761655
3443	182175	806	4	2021-10-06 09:41:59.761655
3444	133634	831	2	2021-10-06 09:41:59.761655
3445	157484	66	3	2021-10-06 09:41:59.761655
3446	191940	487	4	2021-10-06 09:41:59.761655
3447	183537	130	3	2021-10-06 09:41:59.761655
3448	92031	399	0	2021-10-06 09:41:59.761655
3449	7474	836	3	2021-10-06 09:41:59.761655
3450	58794	707	3	2021-10-06 09:41:59.761655
3451	57681	642	1	2021-10-06 09:41:59.761655
3452	53743	679	3	2021-10-06 09:41:59.761655
3453	191649	595	1	2021-10-06 09:41:59.761655
3454	64398	340	1	2021-10-06 09:41:59.761655
3455	90075	520	4	2021-10-06 09:41:59.761655
3456	23330	150	4	2021-10-06 09:41:59.761655
3457	39611	387	2	2021-10-06 09:41:59.761655
3458	86173	539	2	2021-10-06 09:41:59.761655
3459	147850	526	1	2021-10-06 09:41:59.761655
3460	137103	138	1	2021-10-06 09:41:59.761655
3461	13583	528	1	2021-10-06 09:41:59.761655
3462	135957	646	2	2021-10-06 09:41:59.761655
3463	136818	862	5	2021-10-06 09:41:59.761655
3464	29006	592	4	2021-10-06 09:41:59.761655
3465	50129	946	5	2021-10-06 09:41:59.761655
3466	78960	693	0	2021-10-06 09:41:59.761655
3467	141730	923	3	2021-10-06 09:41:59.761655
3468	10362	954	4	2021-10-06 09:41:59.761655
3469	1781	438	4	2021-10-06 09:41:59.761655
3470	161392	777	1	2021-10-06 09:41:59.761655
3471	175901	823	2	2021-10-06 09:41:59.761655
3472	129793	731	1	2021-10-06 09:41:59.761655
3473	2989	323	3	2021-10-06 09:41:59.761655
3474	46273	582	0	2021-10-06 09:41:59.761655
3475	138063	320	3	2021-10-06 09:41:59.761655
3476	138574	84	1	2021-10-06 09:41:59.761655
3477	52486	126	3	2021-10-06 09:41:59.761655
3478	16712	415	2	2021-10-06 09:41:59.761655
3479	147158	971	2	2021-10-06 09:41:59.761655
3480	16404	869	2	2021-10-06 09:41:59.761655
3481	83085	840	4	2021-10-06 09:41:59.761655
3482	170675	932	2	2021-10-06 09:41:59.761655
3483	132630	838	5	2021-10-06 09:41:59.761655
3484	166507	161	3	2021-10-06 09:41:59.761655
3485	171529	746	4	2021-10-06 09:41:59.761655
3486	148978	834	4	2021-10-06 09:41:59.761655
3487	36817	704	2	2021-10-06 09:41:59.761655
3488	74388	202	3	2021-10-06 09:41:59.761655
3489	121192	885	3	2021-10-06 09:41:59.761655
3490	45916	19	4	2021-10-06 09:41:59.761655
3491	108724	610	0	2021-10-06 09:41:59.761655
3492	116308	562	2	2021-10-06 09:41:59.761655
3493	178943	249	1	2021-10-06 09:41:59.761655
3494	81876	449	0	2021-10-06 09:41:59.761655
3495	51926	588	4	2021-10-06 09:41:59.761655
3496	132044	707	2	2021-10-06 09:41:59.761655
3497	61050	28	4	2021-10-06 09:41:59.761655
3498	99689	297	3	2021-10-06 09:41:59.761655
3499	88562	254	1	2021-10-06 09:41:59.761655
3500	46243	553	4	2021-10-06 09:41:59.761655
3501	152681	679	2	2021-10-06 09:41:59.761655
3502	132700	661	3	2021-10-06 09:41:59.761655
3503	7215	41	2	2021-10-06 09:41:59.761655
3504	97829	580	1	2021-10-06 09:41:59.761655
3505	56385	540	0	2021-10-06 09:41:59.761655
3506	65219	785	4	2021-10-06 09:41:59.761655
3507	87414	715	2	2021-10-06 09:41:59.761655
3508	136210	522	3	2021-10-06 09:41:59.761655
3509	30148	808	2	2021-10-06 09:41:59.761655
3510	76022	822	3	2021-10-06 09:41:59.761655
3511	145477	549	1	2021-10-06 09:41:59.761655
3512	45013	293	5	2021-10-06 09:41:59.761655
3513	29643	249	2	2021-10-06 09:41:59.761655
3514	174120	727	4	2021-10-06 09:41:59.761655
3515	73388	176	5	2021-10-06 09:41:59.761655
3516	109219	104	1	2021-10-06 09:41:59.761655
3517	168129	850	4	2021-10-06 09:41:59.761655
3518	85331	414	2	2021-10-06 09:41:59.761655
3519	129952	869	3	2021-10-06 09:41:59.761655
3520	156021	195	5	2021-10-06 09:41:59.761655
3521	165345	973	2	2021-10-06 09:41:59.761655
3522	182022	795	3	2021-10-06 09:41:59.761655
3523	88483	531	3	2021-10-06 09:41:59.761655
3524	15383	876	3	2021-10-06 09:41:59.761655
3525	96726	30	0	2021-10-06 09:41:59.761655
3526	191331	224	1	2021-10-06 09:41:59.761655
3527	21413	589	4	2021-10-06 09:41:59.761655
3528	11910	819	4	2021-10-06 09:41:59.761655
3529	171354	752	5	2021-10-06 09:41:59.761655
3530	11749	954	2	2021-10-06 09:41:59.761655
3531	27596	471	5	2021-10-06 09:41:59.761655
3532	145491	150	5	2021-10-06 09:41:59.761655
3533	140836	965	3	2021-10-06 09:41:59.761655
3534	8311	941	1	2021-10-06 09:41:59.761655
3535	117632	170	1	2021-10-06 09:41:59.761655
3536	130002	641	2	2021-10-06 09:41:59.761655
3537	134194	183	0	2021-10-06 09:41:59.761655
3538	172205	486	2	2021-10-06 09:41:59.761655
3539	46751	324	3	2021-10-06 09:41:59.761655
3540	199385	927	1	2021-10-06 09:41:59.761655
3541	196517	797	4	2021-10-06 09:41:59.761655
3542	5959	761	3	2021-10-06 09:41:59.761655
3543	36639	45	0	2021-10-06 09:41:59.761655
3544	64022	147	5	2021-10-06 09:41:59.761655
3545	141361	607	3	2021-10-06 09:41:59.761655
3546	79133	343	4	2021-10-06 09:41:59.761655
3547	34175	742	1	2021-10-06 09:41:59.761655
3548	132200	722	0	2021-10-06 09:41:59.761655
3549	137967	724	4	2021-10-06 09:41:59.761655
3550	25565	816	5	2021-10-06 09:41:59.761655
3551	3085	877	0	2021-10-06 09:41:59.761655
3552	108179	2	5	2021-10-06 09:41:59.761655
3553	144148	882	0	2021-10-06 09:41:59.761655
3554	165670	396	4	2021-10-06 09:41:59.761655
3555	32379	131	1	2021-10-06 09:41:59.761655
3556	193547	638	3	2021-10-06 09:41:59.761655
3557	123951	52	3	2021-10-06 09:41:59.761655
3558	48603	812	2	2021-10-06 09:41:59.761655
3559	39987	723	1	2021-10-06 09:41:59.761655
3560	194376	748	2	2021-10-06 09:41:59.761655
3561	175741	325	1	2021-10-06 09:41:59.761655
3562	166059	340	4	2021-10-06 09:41:59.761655
3563	30977	222	0	2021-10-06 09:41:59.761655
3564	86790	951	3	2021-10-06 09:41:59.761655
3565	53549	357	4	2021-10-06 09:41:59.761655
3566	122006	792	0	2021-10-06 09:41:59.761655
3567	154008	94	4	2021-10-06 09:41:59.761655
3568	40945	594	2	2021-10-06 09:41:59.761655
3569	96674	5	5	2021-10-06 09:41:59.761655
3570	9750	134	0	2021-10-06 09:41:59.761655
3571	51194	618	2	2021-10-06 09:41:59.761655
3572	100600	347	1	2021-10-06 09:41:59.761655
3573	39226	601	1	2021-10-06 09:41:59.761655
3574	80891	669	2	2021-10-06 09:41:59.761655
3575	125356	380	1	2021-10-06 09:41:59.761655
3576	100072	411	2	2021-10-06 09:41:59.761655
3577	104188	780	4	2021-10-06 09:41:59.761655
3578	137375	395	2	2021-10-06 09:41:59.761655
3579	154453	334	0	2021-10-06 09:41:59.761655
3580	175508	105	3	2021-10-06 09:41:59.761655
3581	167076	918	2	2021-10-06 09:41:59.761655
3582	175186	64	0	2021-10-06 09:41:59.761655
3583	55567	759	0	2021-10-06 09:41:59.761655
3584	106313	448	2	2021-10-06 09:41:59.761655
3585	77401	294	0	2021-10-06 09:41:59.761655
3586	162824	4	4	2021-10-06 09:41:59.761655
3587	50904	973	1	2021-10-06 09:41:59.761655
3588	15800	901	4	2021-10-06 09:41:59.761655
3589	129218	82	5	2021-10-06 09:41:59.761655
3590	143734	828	2	2021-10-06 09:41:59.761655
3591	92666	110	3	2021-10-06 09:41:59.761655
3592	63850	842	4	2021-10-06 09:41:59.761655
3593	28541	205	3	2021-10-06 09:41:59.761655
3594	20515	804	2	2021-10-06 09:41:59.761655
3595	89251	213	2	2021-10-06 09:41:59.761655
3596	111713	117	2	2021-10-06 09:41:59.761655
3597	104292	403	0	2021-10-06 09:41:59.761655
3598	7902	247	1	2021-10-06 09:41:59.761655
3599	5450	161	1	2021-10-06 09:41:59.761655
3600	6669	835	4	2021-10-06 09:41:59.761655
3601	59481	712	2	2021-10-06 09:41:59.761655
3602	147454	944	4	2021-10-06 09:41:59.761655
3603	141207	323	0	2021-10-06 09:41:59.761655
3604	8149	698	1	2021-10-06 09:41:59.761655
3605	115229	501	5	2021-10-06 09:41:59.761655
3606	88889	757	3	2021-10-06 09:41:59.761655
3607	29943	168	0	2021-10-06 09:41:59.761655
3608	79654	841	1	2021-10-06 09:41:59.761655
3609	75069	885	4	2021-10-06 09:41:59.761655
3610	146386	314	2	2021-10-06 09:41:59.761655
3611	178489	901	1	2021-10-06 09:41:59.761655
3612	71816	244	4	2021-10-06 09:41:59.761655
3613	95795	304	5	2021-10-06 09:41:59.761655
3614	158683	532	3	2021-10-06 09:41:59.761655
3615	44794	135	3	2021-10-06 09:41:59.761655
3616	158234	510	2	2021-10-06 09:41:59.761655
3617	189585	615	3	2021-10-06 09:41:59.761655
3618	159088	141	3	2021-10-06 09:41:59.761655
3619	71088	266	4	2021-10-06 09:41:59.761655
3620	186729	824	0	2021-10-06 09:41:59.761655
3621	34075	375	2	2021-10-06 09:41:59.761655
3622	162750	356	3	2021-10-06 09:41:59.761655
3623	111508	821	5	2021-10-06 09:41:59.761655
3624	128579	327	2	2021-10-06 09:41:59.761655
3625	155065	213	0	2021-10-06 09:41:59.761655
3626	111834	77	3	2021-10-06 09:41:59.761655
3627	37481	260	4	2021-10-06 09:41:59.761655
3628	16236	114	2	2021-10-06 09:41:59.761655
3629	152201	104	2	2021-10-06 09:41:59.761655
3630	148949	11	2	2021-10-06 09:41:59.761655
3631	9417	158	0	2021-10-06 09:41:59.761655
3632	54320	911	3	2021-10-06 09:41:59.761655
3633	651	736	1	2021-10-06 09:41:59.761655
3634	161531	827	5	2021-10-06 09:41:59.761655
3635	130815	506	3	2021-10-06 09:41:59.761655
3636	2732	90	4	2021-10-06 09:41:59.761655
3637	139994	138	4	2021-10-06 09:41:59.761655
3638	73950	770	4	2021-10-06 09:41:59.761655
3639	115118	450	5	2021-10-06 09:41:59.761655
3640	18362	550	2	2021-10-06 09:41:59.761655
3641	11687	782	3	2021-10-06 09:41:59.761655
3642	59228	419	1	2021-10-06 09:41:59.761655
3643	12347	47	1	2021-10-06 09:41:59.761655
3644	159466	702	3	2021-10-06 09:41:59.761655
3645	25222	586	3	2021-10-06 09:41:59.761655
3646	145745	682	5	2021-10-06 09:41:59.761655
3647	8536	788	3	2021-10-06 09:41:59.761655
3648	172015	908	1	2021-10-06 09:41:59.761655
3649	73792	742	2	2021-10-06 09:41:59.761655
3650	70852	116	2	2021-10-06 09:41:59.761655
3651	147440	732	2	2021-10-06 09:41:59.761655
3652	160728	148	3	2021-10-06 09:41:59.761655
3653	146015	48	1	2021-10-06 09:41:59.761655
3654	46350	625	5	2021-10-06 09:41:59.761655
3655	158454	690	1	2021-10-06 09:41:59.761655
3656	24943	879	3	2021-10-06 09:41:59.761655
3657	27558	101	1	2021-10-06 09:41:59.761655
3658	52492	298	1	2021-10-06 09:41:59.761655
3659	11261	556	3	2021-10-06 09:41:59.761655
3660	125388	299	3	2021-10-06 09:41:59.761655
3661	60300	997	4	2021-10-06 09:41:59.761655
3662	106566	71	5	2021-10-06 09:41:59.761655
3663	154140	443	4	2021-10-06 09:41:59.761655
3664	146904	539	3	2021-10-06 09:41:59.761655
3665	11375	445	1	2021-10-06 09:41:59.761655
3666	48986	857	0	2021-10-06 09:41:59.761655
3667	108992	368	4	2021-10-06 09:41:59.761655
3668	185744	295	1	2021-10-06 09:41:59.761655
3669	86658	679	1	2021-10-06 09:41:59.761655
3670	161706	313	5	2021-10-06 09:41:59.761655
3671	34720	696	4	2021-10-06 09:41:59.761655
3672	129864	17	4	2021-10-06 09:41:59.761655
3673	177431	313	2	2021-10-06 09:41:59.761655
3674	138882	888	2	2021-10-06 09:41:59.761655
3675	29709	416	5	2021-10-06 09:41:59.761655
3676	39690	405	5	2021-10-06 09:41:59.761655
3677	163927	1	2	2021-10-06 09:41:59.761655
3678	14888	555	2	2021-10-06 09:41:59.761655
3679	136868	359	2	2021-10-06 09:41:59.761655
3680	56035	174	1	2021-10-06 09:41:59.761655
3681	139775	3	4	2021-10-06 09:41:59.761655
3682	172330	492	2	2021-10-06 09:41:59.761655
3683	115783	800	4	2021-10-06 09:41:59.761655
3684	75309	459	2	2021-10-06 09:41:59.761655
3685	107191	790	2	2021-10-06 09:41:59.761655
3686	158806	202	1	2021-10-06 09:41:59.761655
3687	47909	944	4	2021-10-06 09:41:59.761655
3688	198638	240	2	2021-10-06 09:41:59.761655
3689	143518	187	0	2021-10-06 09:41:59.761655
3690	173442	430	4	2021-10-06 09:41:59.761655
3691	32758	161	5	2021-10-06 09:41:59.761655
3692	126849	780	4	2021-10-06 09:41:59.761655
3693	115892	18	2	2021-10-06 09:41:59.761655
3694	191599	94	2	2021-10-06 09:41:59.761655
3695	45581	332	4	2021-10-06 09:41:59.761655
3696	92573	283	1	2021-10-06 09:41:59.761655
3697	178575	186	1	2021-10-06 09:41:59.761655
3698	97884	571	1	2021-10-06 09:41:59.761655
3699	24080	839	3	2021-10-06 09:41:59.761655
3700	165800	7	4	2021-10-06 09:41:59.761655
3701	42285	474	1	2021-10-06 09:41:59.761655
3702	195666	174	0	2021-10-06 09:41:59.761655
3703	132771	943	3	2021-10-06 09:41:59.761655
3704	68942	303	1	2021-10-06 09:41:59.761655
3705	84954	17	0	2021-10-06 09:41:59.761655
3706	176926	379	4	2021-10-06 09:41:59.761655
3707	178468	501	5	2021-10-06 09:41:59.761655
3708	137396	981	4	2021-10-06 09:41:59.761655
3709	54454	559	1	2021-10-06 09:41:59.761655
3710	180369	128	1	2021-10-06 09:41:59.761655
3711	10002	943	4	2021-10-06 09:41:59.761655
3712	144297	435	4	2021-10-06 09:41:59.761655
3713	35209	20	2	2021-10-06 09:41:59.761655
3714	138480	8	4	2021-10-06 09:41:59.761655
3715	86990	613	0	2021-10-06 09:41:59.761655
3716	1465	979	1	2021-10-06 09:41:59.761655
3717	64088	226	3	2021-10-06 09:41:59.761655
3718	42022	883	1	2021-10-06 09:41:59.761655
3719	178906	899	1	2021-10-06 09:41:59.761655
3720	76677	712	5	2021-10-06 09:41:59.761655
3721	93958	806	4	2021-10-06 09:41:59.761655
3722	95108	810	4	2021-10-06 09:41:59.761655
3723	104518	512	2	2021-10-06 09:41:59.761655
3724	125767	183	4	2021-10-06 09:41:59.761655
3725	156266	16	3	2021-10-06 09:41:59.761655
3726	127609	386	3	2021-10-06 09:41:59.761655
3727	59576	684	2	2021-10-06 09:41:59.761655
3728	106448	353	4	2021-10-06 09:41:59.761655
3729	98754	273	4	2021-10-06 09:41:59.761655
3730	160651	829	5	2021-10-06 09:41:59.761655
3731	166620	21	5	2021-10-06 09:41:59.761655
3732	110985	437	0	2021-10-06 09:41:59.761655
3733	135116	150	2	2021-10-06 09:41:59.761655
3734	7972	34	2	2021-10-06 09:41:59.761655
3735	1564	84	4	2021-10-06 09:41:59.761655
3736	59854	776	3	2021-10-06 09:41:59.761655
3737	21645	525	1	2021-10-06 09:41:59.761655
3738	46971	73	1	2021-10-06 09:41:59.761655
3739	66047	977	2	2021-10-06 09:41:59.761655
3740	155621	621	2	2021-10-06 09:41:59.761655
3741	129687	493	2	2021-10-06 09:41:59.761655
3742	183532	615	4	2021-10-06 09:41:59.761655
3743	15270	432	4	2021-10-06 09:41:59.761655
3744	40777	814	3	2021-10-06 09:41:59.761655
3745	84835	217	3	2021-10-06 09:41:59.761655
3746	191344	879	4	2021-10-06 09:41:59.761655
3747	106315	854	3	2021-10-06 09:41:59.761655
3748	10149	286	1	2021-10-06 09:41:59.761655
3749	53346	385	1	2021-10-06 09:41:59.761655
3750	30919	68	0	2021-10-06 09:41:59.761655
3751	185911	358	3	2021-10-06 09:41:59.761655
3752	110439	320	0	2021-10-06 09:41:59.761655
3753	28330	638	3	2021-10-06 09:41:59.761655
3754	192401	930	2	2021-10-06 09:41:59.761655
3755	172395	826	1	2021-10-06 09:41:59.761655
3756	101078	409	2	2021-10-06 09:41:59.761655
3757	181602	26	3	2021-10-06 09:41:59.761655
3758	174478	341	3	2021-10-06 09:41:59.761655
3759	87688	206	4	2021-10-06 09:41:59.761655
3760	99371	81	0	2021-10-06 09:41:59.761655
3761	128407	109	1	2021-10-06 09:41:59.761655
3762	68181	303	2	2021-10-06 09:41:59.761655
3763	194700	729	5	2021-10-06 09:41:59.761655
3764	84837	550	4	2021-10-06 09:41:59.761655
3765	101724	213	3	2021-10-06 09:41:59.761655
3766	116265	7	5	2021-10-06 09:41:59.761655
3767	78935	439	1	2021-10-06 09:41:59.761655
3768	78710	86	2	2021-10-06 09:41:59.761655
3769	147269	898	2	2021-10-06 09:41:59.761655
3770	72343	35	1	2021-10-06 09:41:59.761655
3771	192620	139	3	2021-10-06 09:41:59.761655
3772	51964	262	1	2021-10-06 09:41:59.761655
3773	14671	817	1	2021-10-06 09:41:59.761655
3774	168505	631	2	2021-10-06 09:41:59.761655
3775	199887	216	2	2021-10-06 09:41:59.761655
3776	14849	725	2	2021-10-06 09:41:59.761655
3777	182789	311	2	2021-10-06 09:41:59.761655
3778	172731	405	4	2021-10-06 09:41:59.761655
3779	199992	464	3	2021-10-06 09:41:59.761655
3780	27607	3	0	2021-10-06 09:41:59.761655
3781	20838	472	3	2021-10-06 09:41:59.761655
3782	189391	170	2	2021-10-06 09:41:59.761655
3783	28395	774	0	2021-10-06 09:41:59.761655
3784	133283	316	4	2021-10-06 09:41:59.761655
3785	53615	703	1	2021-10-06 09:41:59.761655
3786	21896	822	3	2021-10-06 09:41:59.761655
3787	22956	135	3	2021-10-06 09:41:59.761655
3788	38961	757	2	2021-10-06 09:41:59.761655
3789	151746	574	3	2021-10-06 09:41:59.761655
3790	165740	319	2	2021-10-06 09:41:59.761655
3791	101433	56	5	2021-10-06 09:41:59.761655
